map,killer,escapes,escape,perk1,perk2,perk3,perk4,item,addon1,addon2,offering,pips,swf
Wreckers Yard,Nemesis,4,Y,Open-Handed (V),Bond (V),Kindred (V),Lithe (V),First Aid Kit (U),,,?,0,N
Family Residence,Mastermind,1,N,Open-Handed (V),Bond (V),Kindred (V),Lithe (V),Emergency Med-Kit (R),,,?,-1,N
Badham Preschool I,Cenobite,2,Y,Open-Handed (V),Bond (V),Kindred (V),Lithe (V),First Aid Kit (U),,,?,1,N
Badham Preschool I,Nightmare,0,N,Open-Handed (V),Bond (V),Kindred (V),Lithe (V),Camping Aid Kit (C),,,?,1,N
Family Residence,Hag,0,N,Open-Handed (V),Bond (V),Kindred (V),Lithe (V),Camping Aid Kit (C),,,Sealed Envelope (U),0,N
Rancid Abattoir,Mastermind,1,N,Open-Handed (V),Bond (V),Kindred (V),Lithe (V),Camping Aid Kit (C),,,Sealed Envelope (U),0,N
Badham Preschool II,Cannibal,4,Y,Open-Handed (V),Bond (V),Kindred (V),Lithe (V),First Aid Kit (U),,,Bloody Party Streamers (R),0,N
Rotten Fields,Mastermind,2,Y,Open-Handed (V),Bond (V),Kindred (V),Lithe (V),First Aid Kit (U),,,Escape! Cake (U),1,N
The Game,Mastermind,4,Y,Open-Handed (V),Bond (V),Kindred (V),Lithe (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Escape! Cake (U),1,N
Badham Preschool III,Nemesis,3,N,Open-Handed (V),Bond (V),Kindred (V),Lithe (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Escape! Cake (U),0,N
Grim Pantry,Pig,0,N,Open-Handed (V),Bond (V),Kindred (V),Hyperfocus (V),Toolbox (U),Brand New Part (L),Wire Spool (U),Escape! Cake (U),0,N
Suffocation Pit,Huntress,0,N,Open-Handed (V),Bond (V),Kindred (V),Lucky Break (V),Camping Aid Kit (C),,,Escape! Cake (U),0,N
Mother's Dwelling,Nightmare,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Escape! Cake (U),1,N
Fractured Cowshed,Mastermind,3,Y,Open-Handed (V),Bond (V),Kindred (V),Lithe (V),First Aid Kit (U),,,Escape! Cake (U),1,Y
Blood Lodge,Shape,0,N,Open-Handed (V),Bond (V),Kindred (V),Lithe (V),First Aid Kit (U),Gel Dressings (R),Gauze Roll (U),Bound Envelope (R),1,Y
The Pale Rose,Executioner,2,Y,Open-Handed (V),Bond (V),Kindred (V),Lithe (V),Camping Aid Kit (C),,,Bound Envelope (R),1,N
Badham Preschool IV,Mastermind,1,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Bound Envelope (R),1,N
Family Residence,Nightmare,3,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),First Aid Kit (U),Gel Dressings (R),Gauze Roll (U),Bloody Party Streamers (R),1,Y
Lampkin Lane,Huntress,3,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),First Aid Kit (U),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),1,Y
Lampkin Lane,Mastermind,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),First Aid Kit (U),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),1,N
Sanctum of Wrath,Mastermind,3,Y,Open-Handed (V),Bond (V),Kindred (V),Lithe (V),First Aid Kit (U),Gel Dressings (R),,Annotated Blueprint (C),1,N
Raccoon City Police Station East Wing,Hag,4,Y,Open-Handed (V),Bond (V),Kindred (V),Lithe (V),First Aid Kit (U),Gel Dressings (R),,Annotated Blueprint (C),1,N
Raccoon City Police Station West Wing,Dredge,2,Y,Open-Handed (V),Bond (V),Kindred (V),Lithe (V),First Aid Kit (U),Gel Dressings (R),,Annotated Blueprint (C),1,N
Ironworks of Misery,Mastermind,0,N,Open-Handed (V),Bond (V),Kindred (V),Lithe (V),First Aid Kit (U),Gel Dressings (R),,Annotated Blueprint (C),0,N
Wretched Shop,Ghostface,1,N,Open-Handed (V),Bond (V),Kindred (V),Lithe (V),Camping Aid Kit (C),,,Annotated Blueprint (C),0,N
Eyrie of Crows,Blight,4,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Bloody Party Streamers (R),1,N
Dead Dawg Saloon,Mastermind,1,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Bloody Party Streamers (R),1,N
Treatment Theatre,Mastermind,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Bloody Party Streamers (R),1,N
Treatment Theatre,Mastermind,0,N,Open-Handed (V),Bond (V),Kindred (V),Deliverance (V),Camping Aid Kit (C),,,Fragrant Bog Laurel (R),0,N
Garden of Joy,Nemesis,0,N,Open-Handed (V),Bond (V),Kindred (V),Lithe (V),Camping Aid Kit (C),,,Fragrant Bog Laurel (R),0,N
Badham Preschool I,Hag,3,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,,1,N
Raccoon City Police Station West Wing,Huntress,1,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Fragrant Crispleaf Amaranth (R),1,N
The Game,Nemesis,0,N,Open-Handed (V),Bond (V),Kindred (V),Left Behind (V),Camping Aid Kit (C),,,Bloody Party Streamers (R),0,N
The Game,Cannibal,0,N,Open-Handed (V),Bond (V),Kindred (V),Left Behind (V),Camping Aid Kit (C),,,Fragrant Crispleaf Amaranth (R),1,N
Rancid Abattoir,Trapper,0,N,Open-Handed (V),Bond (V),Kindred (V),We'll Make It (V),Camping Aid Kit (C),,,,1,N
Fractured Cowshed,Shape,1,N,Reassurance (V),Borrowed Time (V),Kindred (V),We'll Make It (V),First Aid Kit (U),Gel Dressings (R),Self Adherant Wrap (U),Fragrant Primrose Blossom (R),0,N
Garden of Joy,Wraith,4,Y,Open-Handed (V),Bond (V),Kindred (V),We'll Make It (V),Camping Aid Kit (C),,,Fragrant Primrose Blossom (R),1,N
Rancid Abattoir,Mastermind,0,N,Open-Handed (V),Bond (V),Kindred (V),We'll Make It (V),Camping Aid Kit (C),,,Fragrant Primrose Blossom (R),0,N
Badham Preschool IV,Mastermind,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),,,,0,N
Suffocation Pit,Cannibal,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,,0,N
Rotten Fields,Ghostface,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Escape! Cake (U),1,N
Dead Dawg Saloon,Demogorgon,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Escape! Cake (U),1,N
Midwich Elementary School,Deathslinger,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Escape! Cake (U),1,N
Treatment Theatre,Mastermind,1,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Escape! Cake (U),1,N
The Temple of Purgation,Mastermind,3,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Sealed Envelope (U),2,N
Midwich Elementary School,Huntress,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Sealed Envelope (U),0,N
The Thompson House,Trapper,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Sealed Envelope (U),-1,N
Lampkin Lane,Nemesis,3,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Sealed Envelope (U),1,N
Wreckers Yard,Shape,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Sealed Envelope (U),1,N
Sanctum of Wrath,Trapper,3,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,,1,N
Garden of Joy,Dredge,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Fragrant Sweet William (R),0,N
Lampkin Lane,Nemesis,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Fragrant Sweet William (R),0,N
Groaning Storehouse,Clown,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Fragrant Sweet William (R),0,N
Eyrie of Crows,Dredge,3,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Crow's Eye (R),2,N
Mother's Dwelling,Onryo,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Murky Reagent (V),0,N
Eyrie of Crows,Mastermind,-1,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Murky Reagent (V),0,N
Garden of Joy,Twins,2,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Murky Reagent (V),1,N
Azarov's Resting Place,Mastermind,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Murky Reagent (V),1,N
Suffocation Pit,Nemesis,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),,,Murky Reagent (V),0,N
Lampkin Lane,Cenobite,0,N,Reassurance (V),Borrowed Time (V),Kindred (V),We'll Make It (V),Camping Aid Kit (C),,,Murky Reagent (V),-1,N
Rotten Fields,Onryo,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),,,Bloody Party Streamers (R),0,N
Treatment Theatre,Legion,?,DC,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),,,Fresh Primrose Blossom (U),-1,N
Mother's Dwelling,Mastermind,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),,,Fresh Primrose Blossom (U),1,N
Raccoon City Police Station West Wing,Trapper,2,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),,,Fresh Primrose Blossom (U),1,N
Raccoon City Police Station West Wing,Trapper,?,DC,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),,,Fresh Bog Laurel (U),-1,N
Wretched Shop,Ghostface,1,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),,,Fresh Bog Laurel (U),0,N
Eyrie of Crows,Artist,3,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),,,Fresh Bog Laurel (U),1,N
Dead Dawg Saloon,Onryo,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),,,Fresh Bog Laurel (U),1,N
Torment Creek,Plague,2,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),,,Escape! Cake (U),0,N
Lampkin Lane,Onryo,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,,0,N
Raccoon City Police Station West Wing,Nurse,3,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Fresh Bog Laurel (U),1,N
Dead Dawg Saloon,Deathslinger,1,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Fresh Bog Laurel (U),1,N
The Game,Nemesis,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Fresh Bog Laurel (U),1,N
Gas Heaven,Mastermind,1,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Fresh Bog Laurel (U),1,N
Torment Creek,Wraith,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Fresh Bog Laurel (U),1,N
Midwich Elementary School,Cannibal,1,N,Open-Handed (V),Bond (V),Kindred (V),Prove Thyself (V),Camping Aid Kit (C),,,Fresh Bog Laurel (U),0,N
Midwich Elementary School,Huntress,4,Y,Open-Handed (V),Bond (V),Kindred (V),Left Behind (V),First Aid Kit (U),,,Escape! Cake (U),0,N
Disturbed Ward,Dredge,3,N,Open-Handed (V),Bond (V),Kindred (V),Left Behind (V),First Aid Kit (U),,,Escape! Cake (U),1,N
Shelter Woods,Cenobite,2,N,Open-Handed (V),Bond (V),Kindred (V),Left Behind (V),First Aid Kit (U),,,,0,N
Mother's Dwelling,Blight,2,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Annotated Blueprint (C),0,N
Gas Heaven,Trapper,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Annotated Blueprint (C),1,N
Raccoon City Police Station West Wing,Nemesis,?,N,Open-Handed (V),Bond (V),Kindred (V),Left Behind (V),Camping Aid Kit (C),,,,-1,N
Mount Ormond Resort,Trapper,1,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Torn Blueprint (C),1,N
Midwich Elementary School,Twins,2,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Emergency Med-Kit (R),,,Escape! Cake (U),2,N
Gas Heaven,Blight,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Emergency Med-Kit (R),,,Escape! Cake (U),-1,N
Treatment Theatre,Dredge,3,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),First Aid Kit (U),,,Bound Envelope (R),1,N
Raccoon City Police Station East Wing,Shape,4,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Commodious Toolbox (R),Brand New Part (L),Wire Spool (U),Sealed Envelope (U),1,Y
Badham Preschool II,Oni,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Commodious Toolbox (R),Brand New Part (L),Wire Spool (U),Annotated Blueprint (C),0,Y
Treatment Theatre,Trickster,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Commodious Toolbox (R),Brand New Part (L),Wire Spool (U),Vigo's Jar of Salty Lips (V),0,Y
Coal Tower,Mastermind,3,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Commodious Toolbox (R),Brand New Part (L),Wire Spool (U),Vigo's Jar of Salty Lips (V),1,Y
Shelter Woods,Huntress,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Fragrant Bog Laurel (R),0,N
The Game,Spirit,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Fresh Bog Laurel (U),1,N
The Game,Demogorgon,4,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Fresh Bog Laurel (U),0,N
Rancid Abattoir,Executioner,4,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Fresh Bog Laurel (U),1,N
The Game,Artist,4,Y,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Fresh Bog Laurel (U),1,N
Grim Pantry,Shape,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Fresh Bog Laurel (U),2,N
Rotten Fields,Mastermind,0,N,Open-Handed (V),Bond (V),Kindred (V),Balanced Landing (V),Camping Aid Kit (C),,,Fresh Sweet Wiliam (U),-1,N
Raccoon City Police Station West Wing,Cenobite,0,N,Open-Handed (V),Bond (V),Kindred (V),Balanced Landing (V),Camping Aid Kit (C),,,Fresh Sweet Wiliam (U),-1,N
Family Residence,Spirit,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Fresh Sweet Wiliam (U),0,N
Garden of Joy,Ghostface,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Fresh Sweet Wiliam (U),1,N
Mount Ormond Resort,Wraith,0,N,Open-Handed (V),Bond (V),Kindred (V),Sprint Burst (V),Camping Aid Kit (C),,,Fresh Sweet Wiliam (U),0,N
Raccoon City Police Station East Wing,Pig,0,N,Open-Handed (V),Bond (V),Kindred (V),Sprint Burst (V),Camping Aid Kit (C),,,Fresh Sweet Wiliam (U),1,N
Coal Tower,Mastermind,0,N,Open-Handed (V),Bond (V),Kindred (V),Adrenaline (V),Camping Aid Kit (C),,,Fresh Sweet Wiliam (U),-1,N
Badham Preschool V,Mastermind,1,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),,,Fresh Sweet Wiliam (U),1,N
Raccoon City Police Station East Wing,Doctor,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Emergency Med-Kit (R),Gel Dressings (R),Self Adherant Wrap (U),Annotated Blueprint (C),1,Y
Lampkin Lane,Shape,3,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Emergency Med-Kit (R),Gel Dressings (R),Self Adherant Wrap (U),Annotated Blueprint (C),1,Y
Ironworks of Misery,Onryo,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),,,,,-1,Y
Garden of Joy,Cenobite,1,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Commodious Toolbox (R),Brand New Part (L),Wire Spool (U),Annotated Blueprint (C),1,Y
Shelter Woods,Nemesis,3,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),,,Sealed Envelope (U),1,N
Midwich Elementary School,Trickster,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),,,Sealed Envelope (U),0,N
Mount Ormond Resort,Oni,2,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),Bandages (C),Self Adherant Wrap (U),Sealed Envelope (U),1,Y
Treatment Theatre,Onryo,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),Bandages (C),Self Adherant Wrap (U),Fresh Crispleaf Amaranth (U),1,Y
Mother's Dwelling,Trickster,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),Bandages (C),Self Adherant Wrap (U),Fresh Crispleaf Amaranth (U),0,N
Groaning Storehouse,Blight,3,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),Bandages (C),Self Adherant Wrap (U),Fresh Crispleaf Amaranth (U),1,N
Groaning Storehouse,Trickster,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),Bandages (C),Self Adherant Wrap (U),Fresh Crispleaf Amaranth (U),1,N
Fractured Cowshed,Oni,3,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),Bandages (C),Self Adherant Wrap (U),Fresh Crispleaf Amaranth (U),0,N
Mount Ormond Resort,Blight,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),Bandages (C),Self Adherant Wrap (U),Fresh Crispleaf Amaranth (U),0,N
Wretched Shop,Trapper,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),Bandages (C),Self Adherant Wrap (U),Fresh Crispleaf Amaranth (U),-1,N
The Pale Rose,Mastermind,1,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),Bandages (C),Self Adherant Wrap (U),Fresh Crispleaf Amaranth (U),1,N
Garden of Joy,Executioner,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),Bandages (C),Self Adherant Wrap (U),Fresh Crispleaf Amaranth (U),0,N
Badham Preschool I,Mastermind,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Camping Aid Kit (C),Bandages (C),Self Adherant Wrap (U),Fresh Crispleaf Amaranth (U),0,N
Rancid Abattoir,Nightmare,0,N,Open-Handed (V),Bond (V),Kindred (V),Off The Record (R),Camping Aid Kit (C),Bandages (C),Self Adherant Wrap (U),Fresh Crispleaf Amaranth (U),0,N
Suffocation Pit,Hag,1,N,Lithe (V),Resilience (V),Off The Record (V),Windows of Opportunity (V),Toolbox (U),Socket Swivels (U),Scraps (C),,-1,N
Mount Ormond Resort,Nemesis,1,Y,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Quick & Quiet (V),Camping Aid Kit (C),,,Murky Reagent (V),2,N
Mount Ormond Resort,Wraith,0,N,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Quick & Quiet (V),Camping Aid Kit (C),,,Fragrant Crispleaf Amaranth (R),0,N
Wreckers Yard,Nurse,4,Y,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Quick & Quiet (V),Camping Aid Kit (C),,,,1,N
Coal Tower,Huntress,4,Y,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Quick & Quiet (V),Camping Aid Kit (C),,,,1,N
Badham Preschool II,Ghostface,1,N,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Quick & Quiet (V),Camping Aid Kit (C),,,Escape! Cake (U),1,N
Azarov's Resting Place,Huntress,1,Y,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Quick & Quiet (V),Camping Aid Kit (C),,,Fresh Bog Laurel (U),0,N
Midwich Elementary School,Pig,1,N,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Camping Aid Kit (C),,,Fresh Bog Laurel (U),0,N
The Game,Nurse,4,Y,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Worn-Out Tools (C),Clean Rag (C),,Fresh Bog Laurel (U),1,N
Dead Dawg Saloon,Cannibal,2,N,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Worn-Out Tools (C),Clean Rag (C),,Fresh Bog Laurel (U),-1,N
Badham Preschool III,Ghostface,0,N,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Worn-Out Tools (C),Clean Rag (C),,Bog Laurel Sachet (C),1,N
Midwich Elementary School,Ghostface,1,N,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Worn-Out Tools (C),Clean Rag (C),,Bog Laurel Sachet (C),0,N
Coal Tower,Mastermind,0,N,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Worn-Out Tools (C),Clean Rag (C),,Bog Laurel Sachet (C),0,N
Coal Tower,Oni,0,N,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Worn-Out Tools (C),Clean Rag (C),,Bog Laurel Sachet (C),1,N
Ironworks of Misery,Mastermind,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Worn-Out Tools (C),Clean Rag (C),,Fresh Crispleaf Amaranth (U),0,N
Torment Creek,Plague,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Worn-Out Tools (C),Clean Rag (C),,Fresh Crispleaf Amaranth (U),0,N
Gas Heaven,Doctor,1,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Worn-Out Tools (C),Clean Rag (C),,Sweet William Sachet (C),1,N
Family Residence,Blight,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Worn-Out Tools (C),Clean Rag (C),,Sweet William Sachet (C),1,N
Blood Lodge,Spirit,2,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Worn-Out Tools (C),Clean Rag (C),,Sweet William Sachet (C),1,N
Father Campbell's Chapel,Huntress,2,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Worn-Out Tools (C),Clean Rag (C),,Sweet William Sachet (C),0,N
Lampkin Lane,Mastermind,0,N,Open-Handed (V),Bond (V),Kindred (V),Flashbang (V),Worn-Out Tools (C),Clean Rag (C),,Sweet William Sachet (C),-1,N
Dead Dawg Saloon,Hillbilly,0,N,Open-Handed (V),Bond (V),Kindred (V),Flashbang (V),Worn-Out Tools (C),Clean Rag (C),,Sweet William Sachet (C),-1,N
Mount Ormond Resort,Mastermind,0,N,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Worn-Out Tools (C),Clean Rag (C),,Bog Laurel Sachet (C),-1,N
Mount Ormond Resort,Twins,3,Y,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Worn-Out Tools (C),Clean Rag (C),,Bog Laurel Sachet (C),1,N
Treatment Theatre,Pig,2,Y,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Worn-Out Tools (C),Clean Rag (C),,Bog Laurel Sachet (C),2,N
Badham Preschool IV,Executioner,1,N,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Worn-Out Tools (C),Clean Rag (C),,Bog Laurel Sachet (C),1,N
Lampkin Lane,Cannibal,3,Y,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Worn-Out Tools (C),Clean Rag (C),,Bog Laurel Sachet (C),1,Y
Groaning Storehouse,Executioner,2,N,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Worn-Out Tools (C),Clean Rag (C),,Bog Laurel Sachet (C),1,Y
Raccoon City Police Station East Wing,Cenobite,1,Y,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Worn-Out Tools (C),Clean Rag (C),,Bog Laurel Sachet (C),2,Y
Treatment Theatre,Ghostface,0,N,Open-Handed (V),Bond (V),Kindred (V),Clairvoyance (V),Worn-Out Tools (C),Clean Rag (C),,Sweet William Sachet (C),0,N
Eyrie of Crows,Trickster,1,Y,Open-Handed (V),Bond (V),Kindred (V),Clairvoyance (V),Worn-Out Tools (C),Clean Rag (C),Scraps (C),Bog Laurel Sachet (C),0,N
The Game,Mastermind,0,N,Open-Handed (V),Bond (V),Kindred (V),Clairvoyance (V),Worn-Out Tools (C),Clean Rag (C),Scraps (C),Bog Laurel Sachet (C),1,N
Father Campbell's Chapel,Nemesis,2,Y,Open-Handed (V),Bond (V),Kindred (V),Clairvoyance (V),Worn-Out Tools (C),Clean Rag (C),Scraps (C),Bog Laurel Sachet (C),2,N
Groaning Storehouse,Artist,0,N,Open-Handed (V),Bond (V),Kindred (V),Clairvoyance (V),Worn-Out Tools (C),Clean Rag (C),Scraps (C),Bog Laurel Sachet (C),0,N
The Temple of Purgation,Blight,1,N,Open-Handed (V),Bond (V),Kindred (V),Clairvoyance (V),Commodious Toolbox (R),Wire Spool (U),Scraps (C),Bog Laurel Sachet (C),0,N
Mount Ormond Resort,Ghostface,2,N,Open-Handed (V),Bond (V),Kindred (V),Clairvoyance (V),Commodious Toolbox (R),Wire Spool (U),Scraps (C),Bog Laurel Sachet (C),1,N
Rotten Fields,Hillbilly,0,N,Open-Handed (V),Bond (V),Kindred (V),Clairvoyance (V),Commodious Toolbox (R),Wire Spool (U),Scraps (C),Escape! Cake (U),-1,N
Groaning Storehouse,Pig,1,N,Open-Handed (V),Bond (V),Kindred (V),Clairvoyance (V),Commodious Toolbox (R),Wire Spool (U),Scraps (C),Arcane Dowsing Rod (E),0,N
Sanctum of Wrath,Blight,0,N,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Commodious Toolbox (R),Wire Spool (U),Scraps (C),Arcane Dowsing Rod (E),0,N
The Temple of Purgation,Shape,0,N,Windows of Opportunity (V),Dead Hard (V),Resilience (V),Deliverance (V),Commodious Toolbox (R),Wire Spool (U),Scraps (C),Arcane Dowsing Rod (E),0,N
Shelter Woods,Deathslinger,2,Y,Open-Handed (V),Bond (V),Kindred (V),Clairvoyance (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),2,N
Mother's Dwelling,Clown,0,N,Open-Handed (V),Bond (V),Kindred (V),Distortion (V),Camping Aid Kit (C),,,Arcane Dowsing Rod (E),1,N
